user_id,device_trust_score,location_risk,time_of_access,failed_attempts,resource_sensitivity,vpn_active,patch_level,auth_method,anomaly_score,decision,decision_binary
USER_00475,0.8341940115844232,low,22,0,3,True,6,biometric,0.0868,ALLOW,0
USER_00059,0.849848069877537,medium,18,4,2,True,14,password,0.2257,ALLOW,0
USER_00170,0.8333160976578805,low,13,2,2,True,14,biometric,0.1849,ALLOW,0
USER_00476,0.779831929186701,low,11,2,3,False,24,MFA,0.2121,ALLOW,0
USER_00188,0.7640638269594905,low,5,0,2,True,4,biometric,0.1045,ALLOW,0
USER_00464,0.578950660086465,medium,4,0,2,True,30,MFA,0.2654,ALLOW,0
USER_00271,0.9437790756082871,low,19,1,4,True,23,biometric,0.1107,ALLOW,0
USER_00190,0.4990815235064185,low,2,2,4,False,3,biometric,0.2495,ALLOW,0
USER_00446,0.7906671929574322,low,3,1,1,False,14,MFA,0.1077,ALLOW,0
USER_00175,0.6966382309614819,low,0,2,1,True,16,password,0.1678,ALLOW,0
USER_00446,0.4306150155291913,medium,1,0,5,True,3,password,0.287,DENY,1
USER_00051,0.8348131535713018,medium,20,1,4,False,42,MFA,0.2348,ALLOW,0
USER_00364,0.9346470457125184,low,4,1,4,True,16,MFA,0.1521,ALLOW,0
USER_00055,0.9385339285718098,medium,20,0,4,False,3,biometric,0.1896,ALLOW,0
USER_00244,0.7508783404898458,medium,15,1,1,False,34,MFA,0.2863,ALLOW,0
USER_00320,0.7684553036336926,low,9,1,3,True,0,MFA,0.1271,ALLOW,0
USER_00131,0.5473898592128279,high,18,2,2,True,2,biometric,0.447,DENY,1
USER_00485,0.815618013133788,low,15,1,3,True,28,MFA,0.1701,ALLOW,0
USER_00307,0.6502979279090655,low,14,0,4,False,3,MFA,0.2116,ALLOW,0
USER_00135,0.8241555298058457,medium,12,1,1,True,11,password,0.1801,ALLOW,0
USER_00021,0.8257563402192042,medium,3,1,4,True,67,biometric,0.2122,ALLOW,0
USER_00329,0.8441587253890402,medium,22,2,5,True,111,MFA,0.243,ALLOW,0
USER_00167,0.8438222931424122,high,8,1,4,False,5,password,0.3569,DENY,1
USER_00274,0.5790777410340513,high,13,0,2,False,16,biometric,0.3671,DENY,1
USER_00388,0.5614337085321875,low,5,1,4,False,5,biometric,0.1968,ALLOW,0
USER_00089,0.9109260375741597,low,19,2,2,False,69,password,0.1028,ALLOW,0
USER_00316,0.5074949398209001,low,14,2,5,False,20,MFA,0.2926,ALLOW,0
USER_00014,0.8208315417144998,medium,3,2,1,False,8,password,0.221,ALLOW,0
USER_00242,0.6143476747405753,low,23,2,4,False,51,password,0.2172,ALLOW,0
USER_00265,0.7527231108039734,low,21,0,1,True,7,biometric,0.1709,ALLOW,0
USER_00346,0.8856049907187709,low,0,1,4,False,6,biometric,0.1224,ALLOW,0
USER_00053,0.9324814373165017,high,8,0,4,False,28,MFA,0.2754,ALLOW,0
USER_00386,0.9238796295587145,low,10,3,5,True,22,password,0.1625,ALLOW,0
USER_00340,0.7364558312005588,low,19,1,5,False,3,MFA,0.1391,ALLOW,0
USER_00092,0.8266047305336396,medium,14,2,3,True,12,MFA,0.2648,ALLOW,0
USER_00367,0.8463024074584015,low,7,3,1,True,9,password,0.1191,ALLOW,0
USER_00444,0.9716361419851784,low,16,2,4,True,0,password,0.1162,ALLOW,0
USER_00455,0.7168878278043546,low,2,3,5,False,17,biometric,0.1915,ALLOW,0
USER_00428,0.7648617488174981,low,8,0,4,True,13,password,0.1374,ALLOW,0
USER_00264,0.8610639485684064,low,19,0,2,True,0,password,0.0777,ALLOW,0
USER_00431,0.7907160809184376,low,0,0,3,True,4,MFA,0.0967,ALLOW,0
USER_00035,0.7221486981879246,low,21,3,4,False,6,MFA,0.2327,ALLOW,0
USER_00206,0.7730084899545387,low,15,5,3,False,5,MFA,0.1875,ALLOW,0
USER_00081,0.5349218022402512,low,11,1,4,False,6,password,0.2602,ALLOW,0
USER_00420,0.8196804878607953,low,23,0,2,False,25,MFA,0.0906,ALLOW,0
USER_00050,0.6940589628079686,low,10,1,2,True,4,MFA,0.1304,ALLOW,0
USER_00360,0.45849840630214733,low,13,0,1,False,0,password,0.283,DENY,1
USER_00388,0.8535514705557103,high,4,1,3,True,4,biometric,0.2678,ALLOW,0
USER_00002,0.4892299711806899,medium,21,0,2,False,16,MFA,0.3558,ALLOW,0
USER_00390,0.5904669888728828,high,15,2,1,True,3,MFA,0.3533,ALLOW,0
USER_00054,0.9281211521043072,medium,6,1,2,False,3,password,0.1532,ALLOW,0
USER_00106,0.7732931793747541,low,1,0,1,False,32,biometric,0.1346,ALLOW,0
USER_00260,0.8454172292498076,low,0,2,1,True,6,password,0.1674,ALLOW,0
USER_00310,0.8900809879256574,low,22,0,5,True,16,password,0.1483,ALLOW,0
USER_00477,0.9177368504384474,low,17,1,1,False,4,biometric,0.0614,ALLOW,0
USER_00191,0.6997512576031489,medium,6,1,3,True,31,password,0.2526,ALLOW,0
USER_00402,0.7891052724884706,low,21,1,3,True,7,password,0.1994,ALLOW,0
USER_00218,0.7745236315029079,medium,15,2,3,True,1,password,0.224,ALLOW,0
USER_00044,0.9097549242967382,high,7,0,3,False,20,MFA,0.3271,ALLOW,0
USER_00162,0.7054541585085694,low,5,3,4,False,11,password,0.2233,ALLOW,0
USER_00202,0.7707503547976327,low,6,0,5,False,19,biometric,0.182,ALLOW,0
USER_00446,0.8544771304401214,low,21,2,3,False,24,password,0.1508,ALLOW,0
USER_00484,0.7453079480248938,medium,15,1,5,False,6,MFA,0.2544,ALLOW,0
USER_00270,0.6291115085674552,medium,18,2,1,False,13,MFA,0.2931,ALLOW,0
USER_00351,0.6875672147618576,high,7,0,1,False,3,MFA,0.3243,ALLOW,0
USER_00304,0.7804405071959711,medium,11,2,4,False,33,MFA,0.267,DENY,1
USER_00271,0.7897522255027465,medium,0,1,5,True,21,password,0.2355,ALLOW,0
USER_00456,0.8541088254626573,medium,14,3,2,True,6,MFA,0.2125,ALLOW,0
USER_00462,0.5927767985121397,high,17,2,2,True,17,MFA,0.4112,DENY,1
USER_00215,0.755788767296338,medium,18,1,1,True,20,MFA,0.2057,ALLOW,0
USER_00252,0.8945282870455188,low,0,2,3,False,32,password,0.1162,ALLOW,0
USER_00190,0.8705002375165469,low,21,0,3,True,14,password,0.1327,ALLOW,0
USER_00296,0.36536307915966093,medium,7,2,3,True,3,biometric,0.3864,ALLOW,0
USER_00213,0.7672915391517982,low,8,2,2,False,2,MFA,0.178,ALLOW,0
USER_00208,0.5782216192109405,medium,0,1,5,False,0,MFA,0.3318,ALLOW,0
USER_00237,0.6072258539723779,low,21,1,2,True,2,biometric,0.2201,ALLOW,0
USER_00338,0.6396863163503493,high,17,1,5,True,15,biometric,0.4228,ALLOW,0
USER_00367,0.7320843611733177,medium,13,0,1,True,27,password,0.2014,ALLOW,0
USER_00053,0.9660174188158221,medium,7,1,4,True,2,password,0.1486,ALLOW,0
USER_00280,0.7594267684522195,low,18,3,1,False,5,password,0.1979,ALLOW,0
USER_00410,0.7178951771082634,high,8,3,5,True,2,MFA,0.3612,DENY,1
USER_00217,0.42011704950279466,medium,18,3,2,False,0,password,0.3725,DENY,1
USER_00252,0.6525022543268895,low,18,2,5,False,8,MFA,0.2041,ALLOW,0
USER_00188,0.8941553286472924,low,21,1,4,True,10,biometric,0.1253,ALLOW,0
USER_00380,0.5355553962189593,low,13,2,5,True,5,password,0.2771,ALLOW,0
USER_00493,0.6186120368314574,low,5,1,2,True,7,biometric,0.2234,ALLOW,0
USER_00041,0.47961950071304643,low,13,3,1,False,10,biometric,0.2812,ALLOW,0
USER_00157,0.5402671726833796,medium,11,3,3,False,0,password,0.3324,DENY,1
USER_00015,0.6888356810865246,medium,4,4,4,False,2,biometric,0.3218,ALLOW,0
USER_00301,0.6492081364224356,low,20,5,4,False,112,MFA,0.3085,ALLOW,0
USER_00065,0.9359236173128367,medium,1,0,2,False,4,biometric,0.1401,ALLOW,0
USER_00345,0.34384787228693336,low,1,2,3,True,12,MFA,0.314,ALLOW,0
USER_00327,0.8898691664828674,low,3,0,2,False,19,MFA,0.14,ALLOW,0
USER_00009,0.5010743122536969,low,4,1,2,True,9,password,0.2257,ALLOW,0
USER_00344,0.859434683492294,low,19,1,4,False,24,password,0.1047,ALLOW,0
USER_00129,0.7144816481732063,low,13,2,3,True,12,MFA,0.2122,ALLOW,0
USER_00492,0.662793701005609,low,5,1,2,True,0,biometric,0.1463,ALLOW,0
USER_00136,0.5720747854203883,low,21,2,4,True,24,password,0.252,ALLOW,0
USER_00472,0.9447073040387544,medium,4,2,1,False,34,MFA,0.2265,ALLOW,0
USER_00063,0.8521576538687115,low,2,3,1,True,15,password,0.1315,ALLOW,0
USER_00139,0.7844002487576558,high,12,1,2,False,11,biometric,0.3381,ALLOW,0
USER_00499,0.8642679866608078,low,11,0,1,False,1,MFA,0.1264,ALLOW,0
USER_00081,0.2767862324766812,low,13,1,5,True,30,MFA,0.3534,DENY,1
USER_00392,0.9393472400310995,low,22,0,4,True,0,biometric,0.1298,ALLOW,0
USER_00163,0.9497746110421015,low,7,4,1,False,4,biometric,0.0919,ALLOW,0
USER_00419,0.7110897703746205,medium,20,0,5,True,12,MFA,0.2409,ALLOW,0
USER_00289,0.5698647484644346,low,3,2,5,False,13,biometric,0.2189,ALLOW,0
USER_00379,0.5652491357860856,medium,18,2,1,True,17,password,0.3566,DENY,1
USER_00261,0.9637105518464423,low,7,2,1,False,15,password,0.1462,ALLOW,0
USER_00490,0.4960849586356509,low,4,2,1,False,0,biometric,0.2875,ALLOW,0
USER_00231,0.7312918988053606,high,3,5,3,True,12,biometric,0.3628,ALLOW,0
USER_00041,0.39992721275125753,medium,18,2,1,True,0,biometric,0.3973,ALLOW,0
USER_00028,0.9282152395680991,medium,3,1,5,True,8,MFA,0.1512,ALLOW,0
USER_00135,0.39428818449827346,low,22,1,5,True,24,password,0.2321,DENY,1
USER_00201,0.8939377876608722,medium,15,2,1,True,5,MFA,0.2425,ALLOW,0
USER_00328,0.5458388888017882,high,22,3,1,False,52,MFA,0.4053,DENY,1
USER_00268,0.7870779711495804,high,20,4,1,True,24,MFA,0.372,ALLOW,0
USER_00418,0.7315291056878418,low,20,5,3,True,5,MFA,0.1632,ALLOW,0
USER_00033,0.6010853437889584,medium,20,1,3,True,3,MFA,0.3108,ALLOW,0
USER_00048,0.8096492395469318,medium,22,3,4,False,16,password,0.2013,ALLOW,0
USER_00407,0.7567332150149866,medium,14,2,2,True,11,MFA,0.2722,ALLOW,0
USER_00062,0.5877989912587572,low,0,1,5,False,11,MFA,0.1833,ALLOW,0
USER_00216,0.8005632788714676,low,5,1,3,False,67,biometric,0.1746,ALLOW,0
USER_00293,0.4536634759253283,high,7,1,1,False,5,MFA,0.4208,DENY,1
USER_00099,0.6015560963555725,low,19,4,5,True,5,MFA,0.2792,ALLOW,0
USER_00172,0.8010856681183391,high,20,1,1,True,22,MFA,0.3283,ALLOW,0
USER_00360,0.8880268084567823,medium,11,0,5,True,2,MFA,0.1582,ALLOW,0
USER_00214,0.880655479849253,medium,9,1,2,False,9,biometric,0.2217,ALLOW,0
USER_00475,0.8159660762867751,high,17,1,5,True,8,MFA,0.293,ALLOW,0
USER_00035,0.8911623932200907,low,19,3,3,False,25,password,0.1908,ALLOW,0
USER_00449,0.9702721008570226,high,10,4,3,False,23,MFA,0.331,ALLOW,0
USER_00227,0.6555696983073658,low,4,1,3,False,0,MFA,0.2216,ALLOW,0
USER_00101,0.7982874755306684,medium,9,2,4,True,2,password,0.1826,ALLOW,0
USER_00431,0.7197377922379647,high,11,0,1,False,1,MFA,0.3757,DENY,1
USER_00462,0.6861276767838457,low,22,2,2,False,5,MFA,0.1707,ALLOW,0
USER_00131,0.8654865159584705,medium,20,2,3,True,14,biometric,0.1808,ALLOW,0
USER_00257,0.9351187292124749,high,2,0,5,False,1,MFA,0.2482,ALLOW,0
USER_00005,0.7721428194477379,low,22,1,4,True,21,MFA,0.1233,ALLOW,0
USER_00218,0.6811721937177508,low,1,1,5,True,9,password,0.2115,ALLOW,0
USER_00255,0.6214448855552901,medium,5,3,5,True,2,password,0.3104,DENY,1
USER_00398,0.7564320780084539,low,7,0,4,False,1,MFA,0.1481,ALLOW,0
USER_00359,0.9194831685602362,high,6,2,3,True,6,biometric,0.2651,ALLOW,0
USER_00283,0.5168611686984144,high,15,2,2,True,14,MFA,0.454,DENY,1
USER_00393,0.638255313149024,low,14,0,4,True,7,MFA,0.2086,ALLOW,0
USER_00207,0.606734573702652,low,21,1,2,False,9,MFA,0.2447,ALLOW,0
USER_00015,0.8955033013523691,low,13,4,5,False,0,biometric,0.1929,ALLOW,0
USER_00346,0.7208847212892671,medium,21,2,2,False,27,MFA,0.2484,ALLOW,0
USER_00042,0.9078443299101495,medium,7,1,3,True,9,password,0.172,ALLOW,0
USER_00380,0.8303119500908387,medium,15,0,4,True,1,biometric,0.2398,ALLOW,0
USER_00461,0.7591162642961674,low,5,3,3,False,2,password,0.2011,ALLOW,0
USER_00179,0.7747198902557585,low,3,2,3,False,1,MFA,0.1342,ALLOW,0
USER_00063,0.6477858782596067,medium,7,2,4,True,11,password,0.325,ALLOW,0
USER_00352,0.3398270127051239,low,18,1,2,False,11,biometric,0.2443,ALLOW,0
USER_00231,0.6578490084354031,low,14,1,2,True,3,password,0.154,ALLOW,0
USER_00241,0.9058538327124789,low,10,1,3,False,0,MFA,0.1068,ALLOW,0
USER_00052,0.5327453470769342,medium,21,4,5,True,5,MFA,0.3458,ALLOW,0
USER_00096,0.7973914693399435,low,16,2,5,True,20,password,0.2088,ALLOW,0
USER_00388,0.855322254395177,low,15,3,4,True,2,MFA,0.1412,ALLOW,0
USER_00222,0.6368558180786603,low,18,1,4,False,0,MFA,0.1508,ALLOW,0
USER_00485,0.6900615339160122,low,17,2,3,False,3,password,0.1738,ALLOW,0
USER_00407,0.8602693860491318,medium,0,2,5,True,11,biometric,0.2001,ALLOW,0
USER_00231,0.7081204898379104,low,12,4,5,True,2,MFA,0.2321,ALLOW,0
USER_00237,0.8100734884707828,low,7,1,3,False,1,biometric,0.0936,ALLOW,0
USER_00143,0.6840714793172682,high,10,2,5,False,13,MFA,0.3372,DENY,1
USER_00171,0.8471959637570948,low,0,2,2,True,3,password,0.1205,ALLOW,0
USER_00029,0.8864176874260278,low,9,1,1,True,14,biometric,0.1287,ALLOW,0
USER_00036,0.8711412460021437,low,23,1,1,True,42,biometric,0.1355,ALLOW,0
USER_00013,0.36572427747731284,low,15,0,5,True,2,MFA,0.3134,ALLOW,0
USER_00160,0.43410644190711917,medium,7,1,4,True,2,MFA,0.3799,ALLOW,0
USER_00327,0.8432091586327186,low,3,1,4,True,7,password,0.1676,ALLOW,0
USER_00187,0.8301459146509305,low,18,0,4,False,15,MFA,0.1169,ALLOW,0
USER_00243,0.869041919890802,high,6,4,1,True,14,password,0.3379,ALLOW,0
USER_00086,0.8294403656129232,low,17,1,3,False,7,password,0.1345,ALLOW,0
USER_00284,0.8081821207425678,low,0,3,1,False,11,password,0.1955,ALLOW,0
USER_00066,0.7879241507813448,low,17,2,2,True,10,biometric,0.1561,ALLOW,0
USER_00170,0.6195337271961924,medium,9,3,2,True,5,biometric,0.3051,ALLOW,0
USER_00045,0.5716299351355826,low,15,2,5,True,75,MFA,0.2636,ALLOW,0
USER_00062,0.7700509435581179,high,22,1,2,False,3,biometric,0.3761,ALLOW,0
USER_00441,0.707492161565504,high,4,3,5,True,5,biometric,0.3472,ALLOW,0
USER_00134,0.597182031871827,medium,11,2,5,True,2,password,0.2567,ALLOW,0
USER_00284,0.6684415410888289,medium,3,0,4,False,39,password,0.2935,ALLOW,0
USER_00028,0.7352520136002163,medium,9,0,1,False,2,password,0.2191,ALLOW,0
USER_00108,0.9760907325916112,medium,11,1,5,True,7,password,0.1551,ALLOW,0
USER_00044,0.7885086674694716,medium,21,2,5,False,0,MFA,0.2007,ALLOW,0
USER_00340,0.905512841990032,medium,18,4,5,True,14,password,0.193,ALLOW,0
USER_00286,0.7804907488143042,low,23,1,1,False,13,biometric,0.1365,ALLOW,0
USER_00446,0.7030156865104882,medium,18,2,4,True,1,biometric,0.2773,ALLOW,0
USER_00331,0.7282347472933048,low,22,1,4,True,21,MFA,0.1318,ALLOW,0
USER_00128,0.6460102312847409,low,0,2,5,True,36,MFA,0.2254,ALLOW,0
USER_00348,0.6953572776338625,medium,16,0,1,False,6,MFA,0.1955,ALLOW,0
USER_00473,0.866414706766157,low,6,1,4,True,38,biometric,0.0935,ALLOW,0
USER_00231,0.7085909906963724,medium,18,0,1,True,28,MFA,0.2911,ALLOW,0
USER_00190,0.8503867408061087,low,17,2,3,False,43,password,0.207,ALLOW,0
USER_00225,0.8240421161357195,high,14,0,3,False,1,MFA,0.2893,ALLOW,0
USER_00385,0.4870969578656968,medium,21,0,1,True,1,biometric,0.3115,ALLOW,0
USER_00377,0.8226135338452625,medium,3,2,4,False,35,MFA,0.2255,ALLOW,0
USER_00283,0.7642827907136576,low,18,1,5,True,7,biometric,0.1346,ALLOW,0
USER_00446,0.8801020956082394,medium,7,0,3,False,37,password,0.2005,DENY,1
USER_00121,0.9292688029331061,medium,14,2,4,True,8,password,0.2035,ALLOW,0
USER_00116,0.8027047599952307,medium,23,2,2,True,35,MFA,0.2645,ALLOW,0
USER_00461,0.8896554625073875,medium,5,3,4,False,27,password,0.2641,ALLOW,0
USER_00233,0.2848431814741935,medium,22,1,5,False,5,biometric,0.4074,ALLOW,0
USER_00259,0.7043224084210266,medium,17,1,5,True,24,biometric,0.2525,ALLOW,0
USER_00359,0.9240772468422894,medium,0,1,1,True,4,MFA,0.1925,ALLOW,0
USER_00198,0.8697153005457292,low,13,1,3,True,8,MFA,0.0985,ALLOW,0
USER_00456,0.7700617126908931,low,15,2,4,True,33,password,0.1746,ALLOW,0
USER_00411,0.9871148067685618,low,12,3,1,True,10,MFA,0.1439,ALLOW,0
USER_00137,0.37660136001083144,high,7,1,4,True,25,MFA,0.4502,DENY,1
USER_00318,0.45767226348017603,medium,23,1,2,True,0,MFA,0.3194,ALLOW,0
USER_00165,0.7119432385391652,medium,10,0,1,False,13,MFA,0.25,ALLOW,0
USER_00225,0.7779431868600266,medium,8,0,3,False,2,password,0.2616,ALLOW,0
USER_00307,0.6755896423044808,low,2,0,5,False,19,MFA,0.1697,ALLOW,0
USER_00234,0.8017918607468014,low,15,2,5,False,3,password,0.1417,ALLOW,0
USER_00172,0.4569467216403421,high,23,1,4,True,8,MFA,0.4101,ALLOW,0
USER_00152,0.5961067971255346,low,2,0,3,True,16,MFA,0.1708,ALLOW,0
USER_00463,0.8252350806199624,medium,11,1,1,False,4,MFA,0.2062,ALLOW,0
USER_00315,0.8626528749479815,medium,23,1,1,False,22,MFA,0.1982,ALLOW,0
USER_00374,0.6500708575291447,low,6,0,3,True,7,MFA,0.2122,ALLOW,0
USER_00160,0.7164654368096113,medium,1,0,2,False,7,MFA,0.2193,ALLOW,0
USER_00096,0.9016112387478064,high,23,1,5,False,57,password,0.3014,ALLOW,0
USER_00472,0.5140449762463917,low,15,2,4,False,3,biometric,0.2039,ALLOW,0
USER_00233,0.636625639211679,high,10,3,3,True,2,biometric,0.3841,DENY,1
USER_00180,0.9508366512155404,high,21,1,1,False,35,MFA,0.3271,ALLOW,0
USER_00113,0.9508725623152412,low,4,1,5,True,21,password,0.1115,ALLOW,0
USER_00318,0.883768758995188,low,6,4,3,False,38,biometric,0.2096,ALLOW,0
USER_00497,0.7609910252174752,low,20,2,2,True,32,MFA,0.1826,ALLOW,0
USER_00442,0.728253421005088,low,16,1,3,True,4,MFA,0.1304,ALLOW,0
USER_00052,0.9274654464189133,medium,5,3,2,True,15,password,0.1964,ALLOW,0
USER_00268,0.6198229496087224,low,22,4,3,True,1,MFA,0.1864,ALLOW,0
USER_00295,0.576308248264229,medium,16,1,4,False,30,MFA,0.2907,ALLOW,0
USER_00386,0.7124508593798284,medium,7,1,1,False,3,biometric,0.2969,ALLOW,0
USER_00387,0.7874102484283871,low,15,1,5,False,15,password,0.1725,ALLOW,0
USER_00113,0.7860589382927384,low,12,3,4,True,3,biometric,0.1386,ALLOW,0
USER_00101,0.6138186944250013,high,0,0,1,False,10,MFA,0.3646,ALLOW,0
USER_00113,0.7813637234034795,low,11,0,1,False,11,biometric,0.1036,ALLOW,0
USER_00440,0.6981904338568868,low,20,1,4,False,12,MFA,0.1604,ALLOW,0
USER_00081,0.48592882834305823,low,8,2,2,True,2,biometric,0.2538,ALLOW,0
USER_00187,0.9421124262145443,low,22,1,4,False,1,password,0.1315,ALLOW,0
USER_00113,0.7261231469798591,low,15,2,2,True,0,password,0.1629,ALLOW,0
USER_00002,0.9136070440532257,high,8,0,3,True,46,password,0.3389,DENY,1
USER_00130,0.8924978346486788,high,12,0,3,True,2,MFA,0.3068,ALLOW,0
USER_00220,0.727750656944745,medium,6,1,5,True,2,MFA,0.2105,ALLOW,0
USER_00054,0.8048007807685824,low,21,1,3,False,17,password,0.1883,ALLOW,0
USER_00343,0.6880715333382125,low,2,1,5,True,18,password,0.1512,ALLOW,0
USER_00485,0.8182936390252181,low,15,1,5,True,25,MFA,0.1053,ALLOW,0
USER_00224,0.6848957954162996,medium,4,5,4,True,16,password,0.3202,ALLOW,0
USER_00225,0.6751576067413879,low,21,2,3,False,27,password,0.1823,ALLOW,0
USER_00385,0.7206549239882561,low,22,0,5,False,21,MFA,0.1529,ALLOW,0
USER_00403,0.7964079769146181,high,7,0,1,True,11,password,0.322,ALLOW,0
USER_00126,0.7545238147037135,high,17,2,3,True,0,MFA,0.3202,ALLOW,0
USER_00130,0.516509253139634,medium,13,1,3,True,3,password,0.2579,ALLOW,0
USER_00053,0.8575616143720525,low,18,0,1,False,6,MFA,0.1116,ALLOW,0
USER_00172,0.6746821253710467,medium,1,1,1,True,31,password,0.2247,ALLOW,0
USER_00218,0.7367017033982443,low,20,0,4,False,14,MFA,0.1986,ALLOW,0
USER_00160,0.85814999723525,medium,8,1,3,False,11,MFA,0.1959,ALLOW,0
USER_00198,0.7640291564179934,high,8,0,3,False,29,biometric,0.3572,ALLOW,0
USER_00416,0.8410698193718028,low,15,2,2,False,9,MFA,0.1737,ALLOW,0
USER_00247,0.8083070479017798,medium,9,1,1,False,5,MFA,0.2098,ALLOW,0
USER_00324,0.7055971862908189,medium,2,1,1,False,8,MFA,0.29,ALLOW,0
USER_00439,0.7132131894894049,low,20,2,5,True,0,biometric,0.1636,ALLOW,0
USER_00203,0.769648739653699,low,17,0,2,True,1,MFA,0.098,ALLOW,0
USER_00184,0.7384587891112793,medium,8,0,3,True,14,password,0.2501,ALLOW,0
USER_00123,0.6227524112502413,low,14,3,5,True,7,MFA,0.2195,ALLOW,0
USER_00401,0.7003992135866569,low,20,2,1,True,38,MFA,0.2374,ALLOW,0
USER_00255,0.8303231421001644,high,16,1,4,False,8,password,0.3226,ALLOW,0
USER_00294,0.6128114756395436,medium,19,1,1,True,66,biometric,0.3126,ALLOW,0
USER_00280,0.8951690744207309,medium,15,2,3,True,0,MFA,0.2197,ALLOW,0
USER_00325,0.9324586942343812,low,23,2,2,False,6,biometric,0.1542,ALLOW,0
USER_00372,0.6239326995948825,low,0,2,2,False,1,biometric,0.257,ALLOW,0
USER_00098,0.759666408590301,high,8,2,4,False,6,biometric,0.3923,ALLOW,0
USER_00198,0.7012785590450815,low,21,0,5,True,3,biometric,0.144,ALLOW,0
USER_00470,0.7339920806302431,low,14,2,5,False,10,password,0.1717,ALLOW,0
USER_00395,0.6940800937287336,low,21,1,1,True,43,password,0.1508,ALLOW,0
USER_00240,0.8870600043600685,medium,21,1,2,True,6,MFA,0.2011,ALLOW,0
USER_00144,0.8825094598525443,low,7,1,3,True,20,password,0.1672,ALLOW,0
USER_00097,0.8597709769143859,medium,12,0,1,True,2,MFA,0.1894,ALLOW,0
USER_00201,0.536457745256266,low,10,3,1,True,7,MFA,0.1981,ALLOW,0
USER_00124,0.8752553898905034,medium,21,3,1,False,29,MFA,0.2453,ALLOW,0
USER_00187,0.6942900357724741,high,10,1,1,True,88,MFA,0.4014,DENY,1
USER_00326,0.9504050106777905,medium,6,2,1,True,0,MFA,0.2064,ALLOW,0
